name,product_id,brand_id,price_current,price_old,discount_pct,discount_amount,installment_6m,installment_12m,installment_18m,in_stock,special_offer,category,url,image_url,offset
SAMSUNG GALAXY TAB A8 64GB,20220127044348157,23,349.99,379.99,8%,-30,69,34.5,25.56,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20220127044348157-samsung-galaxy-tab-a8-64gb.html,https://soliton.az/images/articles/2022/01/27/thumb400x400-20220127044348157.jpg?2025-05-26+12%3A33%3A19,30
SAMSUNG GALAXY TAB A7 Lite SM-T225 32GB,20210910120253902,23,239.99,259.99,8%,-20,47.17,23.58,17.44,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20210910120253902-samsung-galaxy-tab-a7-lite-sm-t225-32gb.html,https://soliton.az/images/articles/2021/09/10/thumb400x400-20210910120253902.jpg?2025-05-26+12%3A33%3A36,30
Lenovo M10 TB-X505X LTE,20210831114849537,40,469.99,,,,85.33,42.67,31.56,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20210831114849537-lenovo-m10-tb-x505x-lte.html,https://soliton.az/images/articles/2021/08/31/thumb400x400-20210831114849537.jpg?2023-01-06+13%3A55%3A32,30
Samsung Galaxy TAB A 7 SM-T505 64GB,20210122065430450,23,519.99,,,,94.5,47.25,34.94,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20210122065430450-samsung-galaxy-tab-a-7-sm-t505-64gb.html,https://soliton.az/images/articles/2021/01/22/thumb400x400-20210122065430450.jpg?2023-01-06+13%3A55%3A32,30
Samsung Galaxy TAB A 7 SM-T505 32GB,20210122064303788,23,479.99,,,,87.17,43.58,32.28,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20210122064303788-samsung-galaxy-tab-a-7-sm-t505-32gb.html,https://soliton.az/images/articles/2021/01/22/thumb400x400-20210122064303788.jpg?2023-01-06+13%3A55%3A32,45
Samsung TAB S6 lite P615 BLUE,20210122063107733,23,699.99,849.99,18%,-150,154.33,77.17,57.11,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20210122063107733-samsung-tab-s6-lite-p615-blue.html,https://soliton.az/images/articles/2021/01/22/thumb400x400-20210122063107733.jpg?2026-01-31+14%3A47%3A09,45
Samsung TAB S7 T875,20210122060237043,23,1489.99,1599.99,7%,-110,290.67,145.33,107.56,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20210122060237043-samsung-tab-s7-t875.html,https://soliton.az/images/articles/2021/01/22/thumb400x400-20210122060237043.jpg?2023-03-01+10%3A39%3A26,45
HUAWEI MatePad T 10 32GB,20210122054941074,27,229.99,249.99,8%,-20,45.33,22.67,16.78,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20210122054941074-huawei-matepad-t-10-32gb.html,https://soliton.az/images/articles/2021/01/22/thumb400x400-20210122054941074.jpg?2024-09-16+14%3A41%3A14,45
HUAWEI MatePad T 10s 64 GB,20210122052320278,27,249.99,269.99,7%,-20,49,24.5,18.11,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20210122052320278-huawei-matepad-t-10s-64-gb.html,https://soliton.az/images/articles/2021/01/22/thumb400x400-20210122052320278.jpg?2025-01-06+16%3A32%3A45,45
Samsung Galaxy TAB S5E SM-T725,20200421022614470,23,1049.99,,,,190.67,95.33,70.56,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20200421022614470-samsung-galaxy-tab-s5e-sm-t725.html,https://soliton.az/images/articles/2020/04/21/thumb400x400-20200421022614470.jpg?2023-01-06+13%3A55%3A32,45
Samsung Galaxy Tab 4 SM-T285,20170327040323285,23,329.99,,,,60,30,22.22,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20170327040323285-samsung-galaxy-tab-4-sm-t285.html,https://soliton.az/images/articles/2017/03/27/thumb400x400-20170327040323285.jpg?2023-01-06+13%3A55%3A32,45
Samsung Galaxy Tab S2 T715 GOLD,20170124123007058,23,329.99,359.99,8%,-30,65.33,32.67,24.17,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20170124123007058-samsung-galaxy-tab-s2-t715-gold.html,https://soliton.az/images/articles/2017/01/24/thumb400x400-20170124123007058.jpg?2026-01-31+14%3A45%3A48,45
