name,product_id,category,price_current,price_old,installment_monthly,installment_term,in_stock,promo_labels,url,image_url,page
"Apple iPad Air 11"" M3 Wi-Fi 8/128 GB Space Gray (2...",4285,Planşetlər,1469,1539,81.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-11--m3-wi-fi-8-128-gb-space-gray--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=3c3fe21e-7b85-437f-b85d-1c89b7310e84.webp,5
"Apple iPad Air 11"" M3 Wi-Fi 8/256 GB Starlight (20...",4284,Planşetlər,1799,1899,99.94,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-11--m3-wi-fi-8-256-gb-starlight--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=0c531aff-5027-4220-a04c-54e40169c016.webp,5
"Apple iPad Air 11"" M3 Wi-Fi 8/256 GB Blue (2025)",4283,Planşetlər,1799,1899,99.94,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-11--m3-wi-fi-8-256-gb-blue--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=41fb14df-207d-40cc-b057-bc233bc2b9ed.webp,5
"Apple iPad Air 11"" M3 Wi-Fi 8/256 GB Purple (2025)",4282,Planşetlər,1799,1899,99.94,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-11--m3-wi-fi-8-256-gb-purple--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=eadce892-7efd-4953-b706-c119a175942f.webp,5
"Apple iPad Air 11"" M3 Wi-Fi 8/256 GB Space Gray (2...",4281,Planşetlər,1799,1899,99.94,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-11--m3-wi-fi-8-256-gb-space-gray--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=8baf0f80-ae3f-4343-a442-98981f506c0e.webp,6
Poco Pad 8GB/256GB Gray,4172,Planşetlər,579,629,32.17,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/poco-pad-8gb-256gb-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=db22c18f-f2e9-4d59-af29-f37688a029c9.webp,6
Oukitel OKT3 8GB/256GB Blue,3647,Planşetlər,289,329,16.06,18 ay,True,Yalnız online sifarişlə; 18 ay ilkin ödənişsiz,https://smartelectronics.az/az/mehsullar/oukitel-okt3-8gb-256gb-blue,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=a14c1e79-932b-4d8d-ae52-f8fde1368482.webp,6
Oukitel OKT3 8GB/256GB Grey,3646,Planşetlər,289,329,16.06,18 ay,True,Yalnız online sifarişlə; 18 ay ilkin ödənişsiz,https://smartelectronics.az/az/mehsullar/oukitel-okt3-8gb-256gb-grey,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=d8b0592f-072e-4e77-a9ef-e6235f786a29.webp,6
Oukitel OT8 6GB/256GB Purple,3645,Planşetlər,359,419,19.94,18 ay,True,Yalnız online sifarişlə; 18 ay ilkin ödənişsiz,https://smartelectronics.az/az/mehsullar/oukitel-ot8-6gb-256gb-purple,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=6282754a-2010-4a19-a4a1-ebd325cd22a2.webp,6
Oukitel OT8 6GB/256GB Grey,3644,Planşetlər,359,419,19.94,18 ay,True,Yalnız online sifarişlə; 18 ay ilkin ödənişsiz,https://smartelectronics.az/az/mehsullar/oukitel-ot8-6gb-256gb-grey,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=5eadf12a-ffeb-4968-a202-011cf54005f7.webp,6
