name,product_id,price_current,price_old,discount_pct,installment_monthly,installment_term,url,image_url,page
Planşet Oukitel OT8 6GB/256GB LTE Purple,1116535,354.99,499.99,-29 %,19.73,18 ay,https://birmarket.az/product/1116535-planshet-oukitel-ot8-6-256gb-lte-purple,https://strgimgr.b-cdn.net/img/product/280/e0567db6-ea21-4da6-85b9-a6c2b2e1334d.jpeg,15
"Planşet Umiio 11""",1226344,,247.99,,82.67,3 ay,https://birmarket.az/product/1226344-android-11inch-ekran-parlaq-ekran-umiio,https://strgimgr.b-cdn.net/img/product/280/9530e1f7-cc40-4056-8ac8-088de8f0ebe6.jpeg,15
Planşet MetaPad M13 8GB/256GB Silver,1795419,490.00,698.97,-30 %,27.23,18 ay,https://birmarket.az/product/1795419-planshet-metapad-m13-8gb-256gb-silver,https://strgimgr.b-cdn.net/img/product/280/974431a0-51d2-44b4-ab20-8bcf6b65a366.jpeg,15
Planşet Telzeal P603 Orange,1696805,111.00,148.00,-25 %,6.17,18 ay,https://birmarket.az/product/1696805-planshet-telzeal-p603-orange,https://strgimgr.b-cdn.net/img/product/280/e1cf936e-5872-4e8d-a5c5-4632f1ada828.jpeg,15
"Planşet Blackview Tab MEGA 2 12GB/256GB LTE 11.97"" Moss Green (klaviatura, siçan, qulaqcıq ilə)",1311473,399.99,723.99,-45 %,22.23,18 ay,https://birmarket.az/product/1311473-planshet-blackview-tab-mega-2-12gb-256gb-lte-11-97-yashil-klaviatura-sichan-qulaqciq-ile-6931548322436,https://strgimgr.b-cdn.net/img/product/280/0a0759f9-6d08-4514-a6ef-3fbcc74aad30.jpeg,15
Planşet Modio M128 6GB/256GB Çəhrayı - ModioM128_pink,1377997,238.77,300.00,-20 %,13.27,18 ay,https://birmarket.az/product/1377997-planshet-modio-m128-6gb-256gb-chehrayi-modiom128_pink,https://strgimgr.b-cdn.net/img/product/280/9ba25f1f-945f-433a-8fbb-3642645b17bf.jpeg,15
Planşet Modio M791 4GB/128GB Gray - modiom791gr_ay,1392682,178.77,200.00,-11 %,9.94,18 ay,https://birmarket.az/product/1392682-planshet-modio-m791-4gb-128gb-gray-modiom791gr_ay,https://strgimgr.b-cdn.net/img/product/280/4d9f05bf-35c7-4b3f-860b-8439eed0f87a.jpeg,16
"Planşet Modio M62 4GB/128GB Green + Orange 10"" - Modio M62 green+ Modio M62 orange",1379264,156.87,300.00,-48 %,8.72,18 ay,https://birmarket.az/product/1379264-planshet-modio-m62-4gb-128gb-green-orange-10-modio-m62-green-modio-m62-orange,https://strgimgr.b-cdn.net/img/product/280/cc076133-3e3c-46e4-a52e-3ac87f31919c.jpeg,16
Planşet Modio M750 6GB/256GB Pink,1514575,128.97,200.00,-36 %,7.17,18 ay,https://birmarket.az/product/1514575-planshet-modio-m795-tablet-pink-7-inch-6gb-ram-256-gb-yaddas,https://strgimgr.b-cdn.net/img/product/280/ce51b80d-ac79-45d4-8912-a4b973435398.jpeg,16
Planşet Modio M92 və hədiyyə powerbank,1443606,268.30,299.00,-10 %,14.91,18 ay,https://birmarket.az/product/1443606-planshet-modio-ays-m92-ve-hediyye-powerbank,https://strgimgr.b-cdn.net/img/product/280/d65f7d0a-6876-4947-b741-2e4a4218f06e.jpeg,16
Planşet Discover K12 4GB/128GB Red,1628872,,149.99,,50.00,3 ay,https://birmarket.az/product/1628872-discover-k12,https://strgimgr.b-cdn.net/img/product/280/21da23b4-7755-4f14-ab83-a95f3b7ab749.jpeg,16
Planşet Blackview Tab 20 Kids 4GB/64GB Fairy Green,1723464,,350.00,,29.17,12 ay,https://birmarket.az/product/1723464-planshet-pda-blackview-tab-20-kids-4gb-64gb-fairy-green,https://strgimgr.b-cdn.net/img/product/280/0a9a295e-b19b-4d82-8de3-910e07f601f2.jpeg,16
Planşet G-Tab S50 16GB/256GB Gray,1651094,,399.00,,22.17,18 ay,https://birmarket.az/product/1651094-planshet-g-tab-s50-16-256gb,https://strgimgr.b-cdn.net/img/product/280/9c687619-0029-43e9-b1e2-a866cf18f5c6.jpeg,16
"Planşet Discover Fire 14 8GB/256GB 14"" Full HD - discoverfire14",1392527,129.00,200.00,-36 %,7.17,18 ay,https://birmarket.az/product/1392527-planshet-discover-fire-14-8gb-256gb-14-full-hd-discoverfire14,https://strgimgr.b-cdn.net/img/product/280/699af087-b940-40b0-8e25-cc3c49e77b11.jpeg,16
Planşet Tablet Smart 2030 B1033 2GB/32GB,975707,148.46,239.00,-38 %,8.25,18 ay,https://birmarket.az/product/975707-planshet-tablet-smart-2030-b1033-2gb-32gb-mehsul-cheshidde,https://strgimgr.b-cdn.net/sized/280/975707-46a1f3754fd4186dcc7bb30e209a2ddd.jpg,16
"Planşet Vikusha VZ-30 Plus 10.1"" IPS Android Dual SIM 4G",1171036,158.93,300.00,-47 %,8.83,18 ay,https://birmarket.az/product/1171036-planshet-vikusha-vz-30-plus-10-1-ips-android-dual-sim-4g-vik_z30_plus,https://strgimgr.b-cdn.net/img/product/280/d5c46378-9dfd-4e39-811a-793176bac372.jpeg,16
Planşet Modio M3 3GB/16G Blue,1135757,112.00,149.33,-25 %,6.23,18 ay,https://birmarket.az/product/1135757-planshet-modio-m3-blue,https://strgimgr.b-cdn.net/img/product/280/534c6498-26d3-4639-840f-dd13914725d0.jpeg,16
Planşet Discover K100 6GB/256GB Blue,1126154,148.91,250.00,-40 %,8.28,18 ay,https://birmarket.az/product/1126154-planshet-discover-k100-android-8-1-10-6gb-256gb-blue-dk100_b,https://strgimgr.b-cdn.net/img/product/280/7ce3eca4-33dd-4006-8df9-700158223bd4.jpeg,16
"Planşet Atouch A105 10"" 5G 4GB/128GB, Qırmızı",1127109,179.00,250.00,-28 %,9.95,18 ay,https://birmarket.az/product/1127109-planshet-atouch-a105-10-0-5g-4gb-ram-128gb-red-a105_r,https://strgimgr.b-cdn.net/img/product/280/d27effc7-57ef-44b4-9054-65f5f0716c1e.jpeg,16
Planşet B99 4GB/64GB Blue,883495,,209.99,,11.67,18 ay,https://birmarket.az/product/883495-planshet-b99-4gb-64gb-blue,https://strgimgr.b-cdn.net/sized/280/883495-44f6fe02ac0a0742384313d07a6f0847.jpg,16
Planşet Oteeto Tab 17 Stylus 8GB/512GB Gray,1262404,198.99,299.00,-33 %,66.33,3 ay,https://birmarket.az/product/1262404-oteeto-tab-17-stylus-gray-slate-8-256gb-stylus-planshet,https://strgimgr.b-cdn.net/img/product/280/9348bfde-3170-43d4-a13f-142b2953a7c2.jpeg,16
Planşet Oteeto TAB 15 10.1 8GB/512GB Blue,1250437,,299.00,,99.67,3 ay,https://birmarket.az/product/1250437-planshet-oteeto-tab-15-10-1-android-13-8gb-512gb-4g-5g-dual-sim-mavi-tab15_blue,https://strgimgr.b-cdn.net/img/product/280/7ba94cc3-4be1-42ea-b1f6-a3f2a05939d8.jpeg,16
